,,,,,,,,,,,,,,,
?????????????????????????????? ???????????? 2560P,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Country of,Number,,%Change,Country of,Receipts  (Mil.Baht),,%Change,,,,,,,,
Ireland,"6,875","7,019",-2.05,Ireland,418.65,410.02,+2.10,,,,,,,,
Greece,"2,371","2,155",+10.02,Greece,164.13,143.11,+14.69,,,,,,,,
Portugal,"5,745","5,210",+10.27,Portugal,380.75,331.24,+14.95,,,,,,,,
Slovenia,"1,362",995,+36.88,Slovenia,78.61,55.09,+42.69,,,,,,,,
Turkey,"8,331","7,793",+6.90,Turkey,637.44,572.00,+11.44,,,,,,,,
Other in East Europe,"64,497","56,335",+14.49,Other in East Europe,"4,360.84","3,741.10",+16.57,,,,,,,,
Belarus,"1,748","1,709",+2.28,Belarus,105.22,99.73,+5.50,,,,,,,,
Bulgaria,"2,128","1,712",+24.30,Bulgaria,179.90,140.32,+28.21,,,,,,,,
Czech Republic,"6,283","5,810",+8.14,Czech Republic,491.07,440.25,+11.54,,,,,,,,
Estonia,"4,434","3,877",+14.37,Estonia,219.61,186.16,+17.97,,,,,,,,
Hungary,"4,537","4,017",+12.94,Hungary,201.34,172.82,+16.50,,,,,,,,
Kazakhstan,"8,728","7,533",+15.86,Kazakhstan,557.54,466.53,+19.51,,,,,,,,
Latvia,"1,605","1,460",+9.93,Latvia,151.25,133.39,+13.39,,,,,,,,
Lithuania,"2,306","2,250",+2.49,Lithuania,212.77,201.27,+5.71,,,,,,,,
Poland,"12,714","10,497",+21.12,Poland,759.01,607.54,+24.93,,,,,,,,
Romania,"6,034","4,011",+50.44,Romania,349.48,225.22,+55.17,,,,,,,,
Slovakia,"2,720","2,730",-0.37,Slovakia,181.03,176.15,+2.77,,,,,,,,
Ukraine,"8,929","8,293",+7.67,Ukraine,651.62,586.75,+11.06,,,,,,,,
Uzbekistan,"2,331","2,436",-4.31,Uzbekistan,301.00,304.97,-1.30,,,,,,,,
Other in Middle East,"22,937","23,327",-1.67,Other in Middle East,"1,750.19","1,790.16",-2.23,,,,,,,,
Bahrain,"2,129","2,339",-8.98,Bahrain,184.96,206.63,-10.49,,,,,,,,
Iran,"9,955","9,979",-0.24,Iran,630.37,643.80,-2.09,,,,,,,,
Jordan,"1,211","1,252",-3.27,Jordan,129.91,136.57,-4.88,,,,,,,,
Lebanon,892,"1,002",-10.98,Lebanon,53.95,61.62,-12.45,,,,,,,,
Oman,"6,103","6,401",-4.66,Oman,505.40,534.31,-5.41,,,,,,,,
Qatar,"2,132","1,631",+30.72,Qatar,216.68,165.95,+30.57,,,,,,,,
Yemen,515,723,-28.77,Yemen,28.92,41.28,-29.94,,,,,,,,
????????: P ??????? ???????????????,,,,,,,,,,,,,,,
?????: ??????????????????????????????? (? ?????? 11 ?????? 2561P),,,,,,,,,,,,,,,
